,FLAT_v2_started_FLAT_v2_won,UCT_2000_started_FLAT_v2_won,FLAT_v2_started_Tie,UCT_2000_started_Tie,FLAT_v2_started_UCT_2000_won,UCT_2000_started_UCT_2000_won
0,15.0,,,,,
1,,,,,,23.0
2,,10.0,,,,
3,,,,,,15.0
4,,,,,,15.0
5,9.0,,,,,
6,9.0,,,,,
7,9.0,,,,,
8,9.0,,,,,
9,,,,,,13.0
10,15.0,,,,,
11,,,,,,17.0
12,9.0,,,,,
13,9.0,,,,,
14,9.0,,,,,
15,,10.0,,,,
16,,10.0,,,,
17,9.0,,,,,
18,,10.0,,,,
19,,10.0,,,,
20,9.0,,,,,
21,,16.0,,,,
22,9.0,,,,,
23,9.0,,,,,
24,15.0,,,,,
25,,10.0,,,,
26,,10.0,,,,
27,,,,,,13.0
28,,10.0,,,,
29,9.0,,,,,
30,,10.0,,,,
31,,10.0,,,,
32,,,,,,19.0
33,9.0,,,,,
34,9.0,,,,,
35,,10.0,,,,
36,,,,,,15.0
37,,10.0,,,,
38,9.0,,,,,
39,9.0,,,,,
40,,,,,,9.0
41,,10.0,,,,
42,9.0,,,,,
43,,10.0,,,,
44,,10.0,,,,
45,,,,,,15.0
46,9.0,,,,,
47,9.0,,,,,
48,,10.0,,,,
49,9.0,,,,,
