,ZERO_v1_started_ZERO_v1_won,ZERO_v5_started_ZERO_v1_won,ZERO_v1_started_Tie,ZERO_v5_started_Tie,ZERO_v1_started_ZERO_v5_won,ZERO_v5_started_ZERO_v5_won
0,,,,,,11.0
1,,,,,,15.0
2,,,,,,11.0
3,15.0,,,,,
4,,,,,,11.0
5,,,,,14.0,
6,13.0,,,,,
7,,,,,14.0,
8,,,,,14.0,
9,,,,,12.0,
10,,,,,10.0,
11,,,,,16.0,
12,,,,,,9.0
13,,,,,,11.0
14,9.0,,,,,
15,,,,,,9.0
16,,,,,,9.0
17,13.0,,,,,
18,,,,,10.0,
19,13.0,,,,,
20,,,,,,9.0
21,,,,,,11.0
22,,,,,,9.0
23,,,,,20.0,
24,,,,,,13.0
25,,,,,,9.0
26,,,,,,13.0
27,,,,,,11.0
28,,,,,12.0,
29,,,,,,9.0
30,,,,,12.0,
31,,,,,,11.0
32,11.0,,,,,
33,,,,,18.0,
34,,,,,10.0,
35,,,,,,9.0
36,,,,,10.0,
37,,,,,,11.0
38,,,,,,9.0
39,,,,,10.0,
40,,,,,16.0,
41,,,,,22.0,
42,,,,,38.0,
43,,,,,,17.0
44,,,,,,9.0
45,,,,,18.0,
46,,,,,10.0,
47,,,,,10.0,
48,,,,,,15.0
49,,,,,,25.0
