,ZERO_v1_started_ZERO_v1_won,UCT_4000_started_ZERO_v1_won,ZERO_v1_started_Tie,UCT_4000_started_Tie,ZERO_v1_started_UCT_4000_won,UCT_4000_started_UCT_4000_won
0,,10.0,,,,
1,,,,,,21.0
2,,,,,,13.0
3,,,,,28.0,
4,11.0,,,,,
5,,,,,12.0,
6,,,,,,9.0
7,,,,,24.0,
8,,,,,,11.0
9,,,,,12.0,
10,,,,,,9.0
11,,10.0,,,,
12,,10.0,,,,
13,,,,,38.0,
14,,,,,,13.0
15,,,,,,13.0
16,,,,,,11.0
17,,,,,10.0,
18,,,,,10.0,
19,11.0,,,,,
20,,,,,14.0,
21,,,,,,13.0
22,17.0,,,,,
23,,,,,26.0,
24,,12.0,,,,
25,,,,,20.0,
26,,10.0,,,,
27,,,,,12.0,
28,,,,,14.0,
29,,,,,22.0,
30,,,,,18.0,
31,,,,,,9.0
32,,,,,,15.0
33,,,,,20.0,
34,13.0,,,,,
35,,,,,20.0,
36,13.0,,,,,
37,,,,,,9.0
38,,10.0,,,,
39,,,,,10.0,
40,15.0,,,,,
41,,,,,12.0,
42,,,,,10.0,
43,11.0,,,,,
44,,,,,,9.0
45,,,,,10.0,
46,,,,,,25.0
47,,10.0,,,,
48,,,,,,9.0
49,,,,,10.0,
