,ZEROX_v3_started_ZEROX_v3_won,ZEROX_v4_started_ZEROX_v3_won,ZEROX_v3_started_Tie,ZEROX_v4_started_Tie,ZEROX_v3_started_ZEROX_v4_won,ZEROX_v4_started_ZEROX_v4_won
0,,,,,,17.0
1,,,,,,23.0
2,9.0,,,,,
3,,,,,,9.0
4,,,,,,15.0
5,,,,,22.0,
6,,,,,,15.0
7,,,,,40.0,
8,,,,,44.0,
9,19.0,,,,,
10,29.0,,,,,
11,21.0,,,,,
12,9.0,,,,,
13,,,,,,19.0
14,55.0,,,,,
15,9.0,,,,,
16,11.0,,,,,
17,23.0,,,,,
18,,,,,,17.0
19,,,,,,29.0
20,,,,,,25.0
21,,,,,,15.0
22,,,,,,9.0
23,,,,,,33.0
24,,,,,,27.0
25,25.0,,,,,
26,25.0,,,,,
27,9.0,,,,,
28,,,,,22.0,
29,25.0,,,,,
30,,,,,,25.0
31,,,,,54.0,
32,,,,,,31.0
33,,,,,,31.0
34,,,,,,17.0
35,,,,,,9.0
36,,,,,,27.0
37,,,,,,15.0
38,,,,,,35.0
39,11.0,,,,,
40,,,,,38.0,
41,,,,,26.0,
42,27.0,,,,,
43,,,,,,11.0
44,,,,,,37.0
45,11.0,,,,,
46,,,,,,33.0
47,,,,,,27.0
48,31.0,,,,,
49,,,,,,15.0
