,FLAT_v1_started_FLAT_v1_won,FLAT_v2_started_FLAT_v1_won,FLAT_v1_started_Tie,FLAT_v2_started_Tie,FLAT_v1_started_FLAT_v2_won,FLAT_v2_started_FLAT_v2_won
0,,,,,14.0,
1,,,,,16.0,
2,,,,,,15.0
3,,,,,20.0,
4,,20.0,,,,
5,,,,,16.0,
6,,,,,14.0,
7,,10.0,,,,
8,,,,,,21.0
9,,,,,,11.0
10,,,,,,35.0
11,,,,,,41.0
12,,,,,30.0,
13,,,,,46.0,
14,33.0,,,,,
15,,,,,,33.0
16,,,,,,11.0
17,,,,,,31.0
18,,,,,,21.0
19,,,,,16.0,
20,,,,,,9.0
21,,,,,,29.0
22,,,,,30.0,
23,29.0,,,,,
24,27.0,,,,,
25,,,,,,29.0
26,,,,,16.0,
27,,,,,28.0,
28,,,,,,15.0
29,11.0,,,,,
30,,,,,,9.0
31,37.0,,,,,
32,,,,,,33.0
33,,,,,,49.0
34,,,,,12.0,
35,17.0,,,,,
36,33.0,,,,,
37,,28.0,,,,
38,13.0,,,,,
39,,26.0,,,,
40,,,,,,33.0
41,,,,,,63.0
42,19.0,,,,,
43,,,,,18.0,
44,,,,,32.0,
45,,,,,,11.0
46,,,,,,25.0
47,,,,,,23.0
48,,,,,24.0,
49,25.0,,,,,
