,ZEROX_v3_started_ZEROX_v3_won,UCT_6000_started_ZEROX_v3_won,ZEROX_v3_started_Tie,UCT_6000_started_Tie,ZEROX_v3_started_UCT_6000_won,UCT_6000_started_UCT_6000_won
0,,,,,,9.0
1,9.0,,,,,
2,,,,,,15.0
3,15.0,,,,,
4,,10.0,,,,
5,9.0,,,,,
6,9.0,,,,,
7,9.0,,,,,
8,,,,,,9.0
9,,,,,,13.0
10,,,,,18.0,
11,,10.0,,,,
12,9.0,,,,,
13,9.0,,,,,
14,,,,,,17.0
15,,,,,,9.0
16,,,,,,13.0
17,,10.0,,,,
18,,16.0,,,,
19,,,,,14.0,
20,,,,,,17.0
21,,,,,,13.0
22,9.0,,,,,
23,,10.0,,,,
24,,,,,14.0,
25,9.0,,,,,
26,9.0,,,,,
27,,,,,,17.0
28,,,,,,17.0
29,9.0,,,,,
30,9.0,,,,,
31,,,,,20.0,
32,,,,,,9.0
33,15.0,,,,,
34,,,,,,15.0
35,17.0,,,,,
36,,,,,22.0,
37,,,,,,11.0
38,,,,,,13.0
39,,10.0,,,,
40,11.0,,,,,
41,9.0,,,,,
42,,,,,,11.0
43,,,,,,13.0
44,,,,,,11.0
45,11.0,,,,,
46,,,,,,27.0
47,,16.0,,,,
48,11.0,,,,,
49,,,,,,15.0
