,FLAT_v1_started_FLAT_v1_won,UCT_2000_started_FLAT_v1_won,FLAT_v1_started_Tie,UCT_2000_started_Tie,FLAT_v1_started_UCT_2000_won,UCT_2000_started_UCT_2000_won
0,,10.0,,,,
1,,10.0,,,,
2,9.0,,,,,
3,,10.0,,,,
4,,10.0,,,,
5,9.0,,,,,
6,,10.0,,,,
7,9.0,,,,,
8,9.0,,,,,
9,,16.0,,,,
10,9.0,,,,,
11,9.0,,,,,
12,9.0,,,,,
13,,10.0,,,,
14,,10.0,,,,
15,17.0,,,,,
16,,10.0,,,,
17,,10.0,,,,
18,9.0,,,,,
19,,10.0,,,,
20,9.0,,,,,
21,,10.0,,,,
22,,,,,16.0,
23,,16.0,,,,
24,,,,,20.0,
25,9.0,,,,,
26,,10.0,,,,
27,,10.0,,,,
28,,,,,,19.0
29,,10.0,,,,
30,,,,,,11.0
31,,10.0,,,,
32,9.0,,,,,
33,,10.0,,,,
34,9.0,,,,,
35,,10.0,,,,
36,,10.0,,,,
37,9.0,,,,,
38,,,,,,15.0
39,,,,,,17.0
40,,10.0,,,,
41,,10.0,,,,
42,9.0,,,,,
43,,,,,,21.0
44,,10.0,,,,
45,9.0,,,,,
46,9.0,,,,,
47,,,,,,15.0
48,9.0,,,,,
49,,,,,16.0,
