,ZEROX_v1_started_ZEROX_v1_won,UCT_4000_started_ZEROX_v1_won,ZEROX_v1_started_Tie,UCT_4000_started_Tie,ZEROX_v1_started_UCT_4000_won,UCT_4000_started_UCT_4000_won
0,,,,,10.0,
1,,,,,12.0,
2,11.0,,,,,
3,,,,,,17.0
4,,,,,12.0,
5,,,,,16.0,
6,,12.0,,,,
7,11.0,,,,,
8,,,,,16.0,
9,13.0,,,,,
10,,,,,18.0,
11,,10.0,,,,
12,,,,,18.0,
13,,,,,14.0,
14,21.0,,,,,
15,,,,,20.0,
16,,10.0,,,,
17,,10.0,,,,
18,,,,,10.0,
19,,10.0,,,,
20,,,,,20.0,
21,13.0,,,,,
22,,16.0,,,,
23,,,,,,21.0
24,15.0,,,,,
25,,10.0,,,,
26,,,,,,13.0
27,,,,,,15.0
28,31.0,,,,,
29,,,,,,11.0
30,,10.0,,,,
31,,,,,16.0,
32,,16.0,,,,
33,,,,,18.0,
34,,12.0,,,,
35,17.0,,,,,
36,,,,,,13.0
37,19.0,,,,,
38,,,,,,11.0
39,,,,,18.0,
40,,,,,24.0,
41,15.0,,,,,
42,,,,,18.0,
43,11.0,,,,,
44,,,,,16.0,
45,,,,,14.0,
46,,,,,,15.0
47,15.0,,,,,
48,,,,,12.0,
49,,,,,,15.0
