,FLAT_v1_started_FLAT_v1_won,UCT_4000_started_FLAT_v1_won,FLAT_v1_started_Tie,UCT_4000_started_Tie,FLAT_v1_started_UCT_4000_won,UCT_4000_started_UCT_4000_won
0,,,,,14.0,
1,,10.0,,,,
2,,10.0,,,,
3,,,,,,15.0
4,,10.0,,,,
5,,,,,,9.0
6,,,,,,9.0
7,9.0,,,,,
8,,10.0,,,,
9,9.0,,,,,
10,17.0,,,,,
11,,,,,26.0,
12,9.0,,,,,
13,,10.0,,,,
14,,18.0,,,,
15,,10.0,,,,
16,,,,,,15.0
17,9.0,,,,,
18,9.0,,,,,
19,,10.0,,,,
20,,,,,14.0,
21,,,,,14.0,
22,,10.0,,,,
23,,,,,,15.0
24,,,,,16.0,
25,,,,,,9.0
26,,12.0,,,,
27,,,,,,17.0
28,9.0,,,,,
29,,,,,16.0,
30,,,,,,13.0
31,,,,,24.0,
32,,,,,,15.0
33,9.0,,,,,
34,9.0,,,,,
35,,,,,16.0,
36,,10.0,,,,
37,9.0,,,,,
38,,,,,,21.0
39,9.0,,,,,
40,,,,,,13.0
41,,,,,,21.0
42,,10.0,,,,
43,,,,,16.0,
44,,,,,,17.0
45,,10.0,,,,
46,9.0,,,,,
47,,,,,,9.0
48,,,,,,15.0
49,,,,,16.0,
