,ZEROX_v2_started_ZEROX_v2_won,ZEROX_v4_started_ZEROX_v2_won,ZEROX_v2_started_Tie,ZEROX_v4_started_Tie,ZEROX_v2_started_ZEROX_v4_won,ZEROX_v4_started_ZEROX_v4_won
0,,,,,,9.0
1,,,,,,17.0
2,,,,,,13.0
3,,,,,18.0,
4,17.0,,,,,
5,,,,,14.0,
6,,,,,,17.0
7,,,,,10.0,
8,,,,,,21.0
9,,,,,,17.0
10,,,,,20.0,
11,21.0,,,,,
12,,,,,,17.0
13,,,,,,17.0
14,,,,,,13.0
15,,,,,,13.0
16,,,,,,21.0
17,,,,,10.0,
18,,,,,,13.0
19,,,,,,15.0
20,,,,,,15.0
21,,,,,,13.0
22,,,,,,27.0
23,,,,,16.0,
24,,,,,10.0,
25,,,,,,15.0
26,33.0,,,,,
27,,,,,,9.0
28,,,,,10.0,
29,,,,,,17.0
30,,,,,,21.0
31,,,,,10.0,
32,,,,,,9.0
33,39.0,,,,,
34,,,,,10.0,
35,35.0,,,,,
36,,,,,14.0,
37,27.0,,,,,
38,15.0,,,,,
39,,,,,16.0,
40,,,,,22.0,
41,27.0,,,,,
42,35.0,,,,,
43,,,,,,13.0
44,,,,,,15.0
45,,,,,,15.0
46,,,,,16.0,
47,,,,,16.0,
48,,,,,,13.0
49,,,,,,13.0
