,FLAT_v1_started_FLAT_v1_won,UCT_6000_started_FLAT_v1_won,FLAT_v1_started_Tie,UCT_6000_started_Tie,FLAT_v1_started_UCT_6000_won,UCT_6000_started_UCT_6000_won
0,,,,,20.0,
1,,,,,,23.0
2,,10.0,,,,
3,,,,,,17.0
4,,10.0,,,,
5,,,,,,23.0
6,11.0,,,,,
7,,,,,,15.0
8,9.0,,,,,
9,9.0,,,,,
10,,,,,,11.0
11,,,,,12.0,
12,,,,,,13.0
13,9.0,,,,,
14,9.0,,,,,
15,15.0,,,,,
16,9.0,,,,,
17,,,,,12.0,
18,9.0,,,,,
19,9.0,,,,,
20,9.0,,,,,
21,,,,,,9.0
22,9.0,,,,,
23,,,,,18.0,
24,,,,,20.0,
25,,,,,16.0,
26,9.0,,,,,
27,,,,,14.0,
28,9.0,,,,,
29,,,,,,19.0
30,,,,,,13.0
31,,,,,14.0,
32,9.0,,,,,
33,9.0,,,,,
34,,,,,,15.0
35,,10.0,,,,
36,,,,,18.0,
37,,,,,,9.0
38,9.0,,,,,
39,,,,,14.0,
40,,,,,,9.0
41,,,,,20.0,
42,9.0,,,,,
43,,,,,12.0,
44,,,,,,15.0
45,,,,,,9.0
46,,,,,,19.0
47,,,,,14.0,
48,9.0,,,,,
49,9.0,,,,,
