,ZERO_v5_started_ZERO_v5_won,UCT_2000_started_ZERO_v5_won,ZERO_v5_started_Tie,UCT_2000_started_Tie,ZERO_v5_started_UCT_2000_won,UCT_2000_started_UCT_2000_won
0,9.0,,,,,
1,,,,,,31.0
2,19.0,,,,,
3,9.0,,,,,
4,,,,,12.0,
5,9.0,,,,,
6,9.0,,,,,
7,9.0,,,,,
8,,10.0,,,,
9,9.0,,,,,
10,,16.0,,,,
11,9.0,,,,,
12,17.0,,,,,
13,23.0,,,,,
14,,10.0,,,,
15,9.0,,,,,
16,,10.0,,,,
17,9.0,,,,,
18,9.0,,,,,
19,9.0,,,,,
20,,10.0,,,,
21,,10.0,,,,
22,,14.0,,,,
23,,30.0,,,,
24,9.0,,,,,
25,15.0,,,,,
26,,10.0,,,,
27,,10.0,,,,
28,,16.0,,,,
29,9.0,,,,,
30,,10.0,,,,
31,,22.0,,,,
32,,14.0,,,,
33,9.0,,,,,
34,9.0,,,,,
35,,10.0,,,,
36,9.0,,,,,
37,,10.0,,,,
38,9.0,,,,,
39,,12.0,,,,
40,,14.0,,,,
41,,,,,10.0,
42,,,,,16.0,
43,9.0,,,,,
44,,12.0,,,,
45,9.0,,,,,
46,,12.0,,,,
47,15.0,,,,,
48,,10.0,,,,
49,,12.0,,,,
