,ZEROX_v5_started_ZEROX_v5_won,UCT_6000_started_ZEROX_v5_won,ZEROX_v5_started_Tie,UCT_6000_started_Tie,ZEROX_v5_started_UCT_6000_won,UCT_6000_started_UCT_6000_won
0,9.0,,,,,
1,,,,,,29.0
2,,10.0,,,,
3,,,,,,23.0
4,9.0,,,,,
5,,,,,,27.0
6,,,,,28.0,
7,,,,,,11.0
8,,,,,22.0,
9,9.0,,,,,
10,9.0,,,,,
11,,,,,,21.0
12,,,,,,23.0
13,9.0,,,,,
14,,,,,,23.0
15,17.0,,,,,
16,,,,,,31.0
17,9.0,,,,,
18,,10.0,,,,
19,,,,,,15.0
20,,10.0,,,,
21,,,,,14.0,
22,,,,,,17.0
23,,,,,,15.0
24,,,,,14.0,
25,,,,,,19.0
26,,18.0,,,,
27,,,,,,19.0
28,,,,,16.0,
29,,,,,,17.0
30,,12.0,,,,
31,,,,,,43.0
32,9.0,,,,,
33,,,,,,25.0
34,17.0,,,,,
35,,18.0,,,,
36,,,,,,21.0
37,,10.0,,,,
38,,,,,,11.0
39,,24.0,,,,
40,9.0,,,,,
41,,10.0,,,,
42,9.0,,,,,
43,,,,,20.0,
44,,,,,,17.0
45,,18.0,,,,
46,,14.0,,,,
47,,,,,,31.0
48,,,,,18.0,
49,9.0,,,,,
