,ZERO_v1_started_ZERO_v1_won,ZERO_v2_started_ZERO_v1_won,ZERO_v1_started_Tie,ZERO_v2_started_Tie,ZERO_v1_started_ZERO_v2_won,ZERO_v2_started_ZERO_v2_won
0,,30.0,,,,
1,,28.0,,,,
2,,,,,28.0,
3,17.0,,,,,
4,15.0,,,,,
5,,,,,,45.0
6,21.0,,,,,
7,47.0,,,,,
8,,36.0,,,,
9,41.0,,,,,
10,19.0,,,,,
11,,38.0,,,,
12,,,,,,49.0
13,,,,,,49.0
14,,,,,,31.0
15,,,,,18.0,
16,23.0,,,,,
17,,,,,,23.0
18,,,,,,19.0
19,17.0,,,,,
20,27.0,,,,,
21,,,,,18.0,
22,31.0,,,,,
23,45.0,,,,,
24,,,,,,35.0
25,,,,,,27.0
26,,,,,18.0,
27,17.0,,,,,
28,,,,,,45.0
29,,30.0,,,,
30,,,,,,17.0
31,,,,,,17.0
32,,,,,,51.0
33,,48.0,,,,
34,27.0,,,,,
35,,,,,38.0,
36,25.0,,,,,
37,25.0,,,,,
38,27.0,,,,,
39,21.0,,,,,
40,,,,,,29.0
41,,,,,,41.0
42,,,,,44.0,
43,21.0,,,,,
44,13.0,,,,,
45,,,,,,31.0
46,21.0,,,,,
47,,,,,16.0,
48,,34.0,,,,
49,15.0,,,,,
