,ZERO_v2_started_ZERO_v2_won,ZERO_v4_started_ZERO_v2_won,ZERO_v2_started_Tie,ZERO_v4_started_Tie,ZERO_v2_started_ZERO_v4_won,ZERO_v4_started_ZERO_v4_won
0,,,,,,15.0
1,,,,,,9.0
2,,,,,18.0,
3,,,,,,21.0
4,,,,,,23.0
5,,28.0,,,,
6,11.0,,,,,
7,,,,,,21.0
8,,,,,,17.0
9,31.0,,,,,
10,,,,,,27.0
11,,,,,,9.0
12,,,,,,21.0
13,11.0,,,,,
14,,,,,,13.0
15,29.0,,,,,
16,,,,,14.0,
17,,,,,,21.0
18,,,,,,25.0
19,,,,,,13.0
20,,,,,,11.0
21,,,,,,19.0
22,27.0,,,,,
23,,,,,,15.0
24,17.0,,,,,
25,,,,,16.0,
26,31.0,,,,,
27,,,,,,13.0
28,,,,,,15.0
29,,,,,,11.0
30,23.0,,,,,
31,,,,,12.0,
32,,,,,,11.0
33,,,,,16.0,
34,,,,,10.0,
35,,,,,,11.0
36,,,,,,19.0
37,,,,,,21.0
38,25.0,,,,,
39,,,,,14.0,
40,15.0,,,,,
41,,,,,,17.0
42,,,,,18.0,
43,,,,,,27.0
44,,,,,20.0,
45,,,,,,29.0
46,23.0,,,,,
47,,,,,,13.0
48,,,,,,13.0
49,,,,,18.0,
