,FLAT_v4_started_FLAT_v4_won,ZERO_v4_started_FLAT_v4_won,FLAT_v4_started_Tie,ZERO_v4_started_Tie,FLAT_v4_started_ZERO_v4_won,ZERO_v4_started_ZERO_v4_won
0,,,,,12.0,
1,37.0,,,,,
2,,,,,,17.0
3,,,,,,29.0
4,21.0,,,,,
5,,,,,,15.0
6,,,,,,13.0
7,,,,,24.0,
8,,,,,,19.0
9,,,,,,11.0
10,31.0,,,,,
11,,,,,14.0,
12,,,,,,21.0
13,,,,,,29.0
14,,,,,,21.0
15,23.0,,,,,
16,,,,,,13.0
17,13.0,,,,,
18,,,,,,17.0
19,,,,,,29.0
20,,,,,,21.0
21,,,,,,19.0
22,,,,,16.0,
23,,,,,,15.0
24,,,,,18.0,
25,13.0,,,,,
26,11.0,,,,,
27,,,,,,23.0
28,11.0,,,,,
29,,,,,,23.0
30,,,,,,15.0
31,,,,,,19.0
32,,,,,40.0,
33,,,,,,19.0
34,,,,,,11.0
35,25.0,,,,,
36,17.0,,,,,
37,11.0,,,,,
38,,,,,,11.0
39,,,,,18.0,
40,,,,,,11.0
41,,,,,,15.0
42,,,,,14.0,
43,13.0,,,,,
44,27.0,,,,,
45,11.0,,,,,
46,,,,,12.0,
47,,,,,,25.0
48,,,,,,13.0
49,,,,,18.0,
