,ZERO_v2_started_ZERO_v2_won,UCT_4000_started_ZERO_v2_won,ZERO_v2_started_Tie,UCT_4000_started_Tie,ZERO_v2_started_UCT_4000_won,UCT_4000_started_UCT_4000_won
0,,,,,,17.0
1,,,,,14.0,
2,9.0,,,,,
3,,,,,,11.0
4,,,,,,11.0
5,9.0,,,,,
6,,,,,,17.0
7,9.0,,,,,
8,,,,,16.0,
9,,,,,12.0,
10,,,,,14.0,
11,,,,,14.0,
12,17.0,,,,,
13,9.0,,,,,
14,15.0,,,,,
15,,,,,12.0,
16,29.0,,,,,
17,,12.0,,,,
18,,,,,,9.0
19,,,,,,11.0
20,,,,,,25.0
21,15.0,,,,,
22,,,,,,9.0
23,9.0,,,,,
24,9.0,,,,,
25,,,,,,13.0
26,,,,,18.0,
27,9.0,,,,,
28,,10.0,,,,
29,,,,,,13.0
30,,12.0,,,,
31,9.0,,,,,
32,9.0,,,,,
33,9.0,,,,,
34,,,,,16.0,
35,,,,,,23.0
36,,,,,,15.0
37,9.0,,,,,
38,,,,,,15.0
39,,,,,,13.0
40,,,,,,15.0
41,,12.0,,,,
42,9.0,,,,,
43,,,,,,23.0
44,,10.0,,,,
45,9.0,,,,,
46,9.0,,,,,
47,9.0,,,,,
48,,,,,20.0,
49,,,,,22.0,
