,ZEROX_v5_started_ZEROX_v5_won,UCT_2000_started_ZEROX_v5_won,ZEROX_v5_started_Tie,UCT_2000_started_Tie,ZEROX_v5_started_UCT_2000_won,UCT_2000_started_UCT_2000_won
0,,18.0,,,,
1,,10.0,,,,
2,,10.0,,,,
3,9.0,,,,,
4,9.0,,,,,
5,9.0,,,,,
6,,20.0,,,,
7,,,,,,19.0
8,13.0,,,,,
9,9.0,,,,,
10,9.0,,,,,
11,9.0,,,,,
12,9.0,,,,,
13,9.0,,,,,
14,11.0,,,,,
15,15.0,,,,,
16,,14.0,,,,
17,9.0,,,,,
18,,12.0,,,,
19,9.0,,,,,
20,,10.0,,,,
21,,10.0,,,,
22,,24.0,,,,
23,,10.0,,,,
24,,10.0,,,,
25,,22.0,,,,
26,,14.0,,,,
27,15.0,,,,,
28,19.0,,,,,
29,,,,,,15.0
30,9.0,,,,,
31,,10.0,,,,
32,,14.0,,,,
33,,10.0,,,,
34,,10.0,,,,
35,9.0,,,,,
36,9.0,,,,,
37,,14.0,,,,
38,,12.0,,,,
39,,10.0,,,,
40,,14.0,,,,
41,,10.0,,,,
42,9.0,,,,,
43,,12.0,,,,
44,,12.0,,,,
45,9.0,,,,,
46,,18.0,,,,
47,,10.0,,,,
48,,10.0,,,,
49,,18.0,,,,
