,FLAT_v3_started_FLAT_v3_won,FLAT_v4_started_FLAT_v3_won,FLAT_v3_started_Tie,FLAT_v4_started_Tie,FLAT_v3_started_FLAT_v4_won,FLAT_v4_started_FLAT_v4_won
0,13.0,,,,,
1,,,,,,15.0
2,9.0,,,,,
3,17.0,,,,,
4,15.0,,,,,
5,,,,,10.0,
6,17.0,,,,,
7,9.0,,,,,
8,9.0,,,,,
9,,14.0,,,,
10,,12.0,,,,
11,,,,,,13.0
12,11.0,,,,,
13,,,,,,13.0
14,,,,,,21.0
15,,,,,,17.0
16,,,,,,15.0
17,19.0,,,,,
18,,,,,14.0,
19,11.0,,,,,
20,,,,,,15.0
21,9.0,,,,,
22,13.0,,,,,
23,,,,,,27.0
24,,12.0,,,,
25,,,,,,13.0
26,,,,,,15.0
27,,,,,20.0,
28,13.0,,,,,
29,,,,,20.0,
30,17.0,,,,,
31,,,,,,15.0
32,,,,,,15.0
33,,,,,,23.0
34,,,,,10.0,
35,15.0,,,,,
36,,,,,,19.0
37,,24.0,,,,
38,,,,,20.0,
39,,,,,,17.0
40,,32.0,,,,
41,,22.0,,,,
42,11.0,,,,,
43,19.0,,,,,
44,,,,,10.0,
45,,,,,,19.0
46,,24.0,,,,
47,,24.0,,,,
48,,,,,,23.0
49,,,,,18.0,
