,FLAT_v2_started_FLAT_v2_won,FLAT_v5_started_FLAT_v2_won,FLAT_v2_started_Tie,FLAT_v5_started_Tie,FLAT_v2_started_FLAT_v5_won,FLAT_v5_started_FLAT_v5_won
0,,,,,,11.0
1,,,,,10.0,
2,,,,,,13.0
3,,,,,,11.0
4,11.0,,,,,
5,,,,,,15.0
6,,,,,10.0,
7,,,,,,9.0
8,11.0,,,,,
9,,,,,12.0,
10,,,,,,9.0
11,,,,,12.0,
12,11.0,,,,,
13,,,,,10.0,
14,,,,,,11.0
15,,,,,,9.0
16,,,,,,13.0
17,,,,,,11.0
18,,,,,,11.0
19,11.0,,,,,
20,,,,,20.0,
21,,,,,,11.0
22,,,,,10.0,
23,,10.0,,,,
24,11.0,,,,,
25,,,,,12.0,
26,,,,,14.0,
27,,,,,12.0,
28,,,,,10.0,
29,13.0,,,,,
30,11.0,,,,,
31,,,,,14.0,
32,,12.0,,,,
33,,,,,,9.0
34,,,,,14.0,
35,11.0,,,,,
36,,,,,,9.0
37,9.0,,,,,
38,,,,,14.0,
39,,12.0,,,,
40,,,,,,11.0
41,,,,,,13.0
42,13.0,,,,,
43,,,,,,11.0
44,17.0,,,,,
45,,,,,,11.0
46,,,,,,11.0
47,,,,,14.0,
48,,,,,,11.0
49,,,,,14.0,
