,ZEROX_v1_started_ZEROX_v1_won,ZEROX_v4_started_ZEROX_v1_won,ZEROX_v1_started_Tie,ZEROX_v4_started_Tie,ZEROX_v1_started_ZEROX_v4_won,ZEROX_v4_started_ZEROX_v4_won
0,,,,,,15.0
1,,,,,16.0,
2,,,,,,15.0
3,,,,,,11.0
4,,,,,20.0,
5,,,,,,15.0
6,,,,,,17.0
7,,,,,,15.0
8,19.0,,,,,
9,,,,,18.0,
10,,,,,,15.0
11,,,,,12.0,
12,,,,,14.0,
13,,,,,,11.0
14,,,,,10.0,
15,,,,,12.0,
16,,,,,,23.0
17,,,,,12.0,
18,,,,,40.0,
19,,,,,,27.0
20,,,,,26.0,
21,,,,,,15.0
22,,,,,,13.0
23,,,,,,19.0
24,,,,,14.0,
25,,,,,18.0,
26,,,,,,13.0
27,,,,,12.0,
28,,,,,,19.0
29,,,,,12.0,
30,,,,,,13.0
31,,,,,12.0,
32,,,,,,15.0
33,,,,,,17.0
34,,,,,,15.0
35,,,,,10.0,
36,,,,,,11.0
37,,,,,14.0,
38,,,,,12.0,
39,,,,,12.0,
40,,,,,,21.0
41,,,,,,11.0
42,,,,,,21.0
43,,,,,20.0,
44,,,,,16.0,
45,27.0,,,,,
46,21.0,,,,,
47,,,,,12.0,
48,,,,,,15.0
49,31.0,,,,,
