,FLAT_v1_started_FLAT_v1_won,ZERO_v1_started_FLAT_v1_won,FLAT_v1_started_Tie,ZERO_v1_started_Tie,FLAT_v1_started_ZERO_v1_won,ZERO_v1_started_ZERO_v1_won
0,,,,,22.0,
1,,,,,,19.0
2,,,,,,15.0
3,21.0,,,,,
4,,,,,,43.0
5,27.0,,,,,
6,,,,,36.0,
7,,,,,,23.0
8,,,,,34.0,
9,,,,,38.0,
10,,,,,,29.0
11,,,,,,9.0
12,,,,,,29.0
13,,,,,,23.0
14,,,,,30.0,
15,,,,,28.0,
16,,,,,,17.0
17,,,,,,29.0
18,,,,,,13.0
19,,,,,36.0,
20,31.0,,,,,
21,11.0,,,,,
22,,,,,,19.0
23,39.0,,,,,
24,,,,,18.0,
25,,,,,,29.0
26,,,,,,37.0
27,,,,,,35.0
28,,,,,32.0,
29,,,,,76.0,
30,,,,,42.0,
31,,,,,,33.0
32,,,,,,11.0
33,25.0,,,,,
34,,,,,48.0,
35,,,,,16.0,
36,,,,,22.0,
37,,,,,50.0,
38,,,,,24.0,
39,,,,,,9.0
40,,,,,,17.0
41,,,,,34.0,
42,17.0,,,,,
43,,,,,,25.0
44,,,,,,33.0
45,,,,,,15.0
46,,,,,50.0,
47,,,,,18.0,
48,15.0,,,,,
49,,,,,18.0,
