,FLAT_v2_started_FLAT_v2_won,FLAT_v4_started_FLAT_v2_won,FLAT_v2_started_Tie,FLAT_v4_started_Tie,FLAT_v2_started_FLAT_v4_won,FLAT_v4_started_FLAT_v4_won
0,,,,,,11.0
1,,,,,16.0,
2,,,,,,17.0
3,,12.0,,,,
4,19.0,,,,,
5,13.0,,,,,
6,17.0,,,,,
7,9.0,,,,,
8,,,,,10.0,
9,,,,,,23.0
10,13.0,,,,,
11,15.0,,,,,
12,,,,,,17.0
13,,,,,,21.0
14,,,,,10.0,
15,,,,,26.0,
16,,,,,,15.0
17,,,,,,13.0
18,,,,,10.0,
19,,,,,18.0,
20,,,,,14.0,
21,,,,,12.0,
22,11.0,,,,,
23,,,,,10.0,
24,,16.0,,,,
25,,,,,10.0,
26,,,,,,29.0
27,,,,,,15.0
28,,,,,10.0,
29,,,,,10.0,
30,,,,,10.0,
31,,,,,,15.0
32,,,,,28.0,
33,,,,,20.0,
34,,,,,,19.0
35,,,,,12.0,
36,,,,,,13.0
37,9.0,,,,,
38,,,,,,21.0
39,13.0,,,,,
40,,,,,,11.0
41,,,,,,15.0
42,,,,,,13.0
43,,,,,12.0,
44,,,,,10.0,
45,,,,,14.0,
46,,,,,18.0,
47,,,,,12.0,
48,11.0,,,,,
49,,,,,10.0,
