,ZEROX_v5_started_ZEROX_v5_won,UCT_4000_started_ZEROX_v5_won,ZEROX_v5_started_Tie,UCT_4000_started_Tie,ZEROX_v5_started_UCT_4000_won,UCT_4000_started_UCT_4000_won
0,,16.0,,,,
1,9.0,,,,,
2,,18.0,,,,
3,,,,,22.0,
4,,,,,26.0,
5,9.0,,,,,
6,9.0,,,,,
7,9.0,,,,,
8,9.0,,,,,
9,,12.0,,,,
10,19.0,,,,,
11,,10.0,,,,
12,17.0,,,,,
13,,,,,,17.0
14,9.0,,,,,
15,,20.0,,,,
16,,,,,,9.0
17,,10.0,,,,
18,9.0,,,,,
19,,12.0,,,,
20,,,,,,19.0
21,,,,,,15.0
22,,20.0,,,,
23,,,,,20.0,
24,,10.0,,,,
25,,,,,,21.0
26,21.0,,,,,
27,,10.0,,,,
28,,12.0,,,,
29,,,,,,15.0
30,,12.0,,,,
31,,36.0,,,,
32,,18.0,,,,
33,9.0,,,,,
34,,,,,,31.0
35,,18.0,,,,
36,,14.0,,,,
37,11.0,,,,,
38,,10.0,,,,
39,9.0,,,,,
40,,10.0,,,,
41,,10.0,,,,
42,,,,,12.0,
43,,14.0,,,,
44,,,,,,25.0
45,,,,,,19.0
46,,,,,,17.0
47,,,,,16.0,
48,,12.0,,,,
49,,12.0,,,,
