,ZEROX_v2_started_ZEROX_v2_won,UCT_2000_started_ZEROX_v2_won,ZEROX_v2_started_Tie,UCT_2000_started_Tie,ZEROX_v2_started_UCT_2000_won,UCT_2000_started_UCT_2000_won
0,15.0,,,,,
1,,12.0,,,,
2,9.0,,,,,
3,,14.0,,,,
4,9.0,,,,,
5,9.0,,,,,
6,15.0,,,,,
7,,,,,,21.0
8,,10.0,,,,
9,15.0,,,,,
10,9.0,,,,,
11,,12.0,,,,
12,,,,,,13.0
13,9.0,,,,,
14,15.0,,,,,
15,,12.0,,,,
16,15.0,,,,,
17,,,,,,11.0
18,,12.0,,,,
19,,,,,,15.0
20,15.0,,,,,
21,9.0,,,,,
22,,12.0,,,,
23,9.0,,,,,
24,9.0,,,,,
25,9.0,,,,,
26,9.0,,,,,
27,,,,,,15.0
28,,,,,,17.0
29,9.0,,,,,
30,,,,,26.0,
31,,16.0,,,,
32,,,,,,17.0
33,9.0,,,,,
34,9.0,,,,,
35,,16.0,,,,
36,9.0,,,,,
37,9.0,,,,,
38,,14.0,,,,
39,,,,,,11.0
40,9.0,,,,,
41,9.0,,,,,
42,9.0,,,,,
43,9.0,,,,,
44,,,,,,9.0
45,9.0,,,,,
46,,,,,,9.0
47,9.0,,,,,
48,9.0,,,,,
49,9.0,,,,,
