,FLAT_v4_started_FLAT_v4_won,ZEROX_v4_started_FLAT_v4_won,FLAT_v4_started_Tie,ZEROX_v4_started_Tie,FLAT_v4_started_ZEROX_v4_won,ZEROX_v4_started_ZEROX_v4_won
0,,,,,,17.0
1,,,,,20.0,
2,,,,,40.0,
3,,,,,,17.0
4,13.0,,,,,
5,,,,,36.0,
6,,,,,28.0,
7,,,,,,29.0
8,,,,,18.0,
9,,,,,,39.0
10,,,,,,31.0
11,,,,,32.0,
12,,,,,,21.0
13,9.0,,,,,
14,21.0,,,,,
15,19.0,,,,,
16,,,,,,17.0
17,,,,,12.0,
18,,,,,12.0,
19,,,,,,13.0
20,,,,,,29.0
21,,,,,,23.0
22,11.0,,,,,
23,,,,,,31.0
24,13.0,,,,,
25,,,,,,15.0
26,,,,,,23.0
27,,,,,,19.0
28,,,,,,19.0
29,,,,,,13.0
30,,,,,,19.0
31,,,,,,37.0
32,,,,,,37.0
33,,,,,32.0,
34,,,,,,19.0
35,13.0,,,,,
36,29.0,,,,,
37,13.0,,,,,
38,21.0,,,,,
39,23.0,,,,,
40,,,,,,11.0
41,21.0,,,,,
42,,,,,22.0,
43,,,,,44.0,
44,13.0,,,,,
45,43.0,,,,,
46,17.0,,,,,
47,,,,,,13.0
48,19.0,,,,,
49,27.0,,,,,
