,ZERO_v3_started_ZERO_v3_won,ZEROX_v3_started_ZERO_v3_won,ZERO_v3_started_Tie,ZEROX_v3_started_Tie,ZERO_v3_started_ZEROX_v3_won,ZEROX_v3_started_ZEROX_v3_won
0,,,,,,31.0
1,33.0,,,,,
2,,34.0,,,,
3,27.0,,,,,
4,33.0,,,,,
5,19.0,,,,,
6,,24.0,,,,
7,43.0,,,,,
8,51.0,,,,,
9,33.0,,,,,
10,,,,,32.0,
11,,,,,34.0,
12,,,,,,21.0
13,,,,,28.0,
14,,36.0,,,,
15,,,,,,27.0
16,27.0,,,,,
17,,,,,24.0,
18,29.0,,,,,
19,,,,,,15.0
20,31.0,,,,,
21,,,,,,23.0
22,,28.0,,,,
23,29.0,,,,,
24,25.0,,,,,
25,39.0,,,,,
26,,,,,,19.0
27,,,,,,27.0
28,,,,,,31.0
29,,,,,28.0,
30,21.0,,,,,
31,39.0,,,,,
32,,,,,20.0,
33,53.0,,,,,
34,23.0,,,,,
35,,,,,,31.0
36,,,,,,29.0
37,21.0,,,,,
38,21.0,,,,,
39,,,,,34.0,
40,,,,,26.0,
41,,24.0,,,,
42,,22.0,,,,
43,21.0,,,,,
44,,,,,,21.0
45,,48.0,,,,
46,,,,,,21.0
47,,32.0,,,,
48,23.0,,,,,
49,,,,,,19.0
