,ZEROX_v1_started_ZEROX_v1_won,UCT_6000_started_ZEROX_v1_won,ZEROX_v1_started_Tie,UCT_6000_started_Tie,ZEROX_v1_started_UCT_6000_won,UCT_6000_started_UCT_6000_won
0,,,,,,11.0
1,,12.0,,,,
2,,,,,,9.0
3,,,,,10.0,
4,11.0,,,,,
5,,,,,,9.0
6,,,,,10.0,
7,,,,,,25.0
8,,,,,,17.0
9,,,,,10.0,
10,,,,,10.0,
11,,10.0,,,,
12,,10.0,,,,
13,,,,,,17.0
14,,,,,36.0,
15,,,,,16.0,
16,,,,,,17.0
17,,10.0,,,,
18,,,,,10.0,
19,,,,,,17.0
20,,12.0,,,,
21,,,,,,15.0
22,,,,,12.0,
23,13.0,,,,,
24,,,,,,17.0
25,,,,,,11.0
26,,,,,,13.0
27,,,,,18.0,
28,,,,,,17.0
29,,,,,,9.0
30,,18.0,,,,
31,17.0,,,,,
32,,,,,,13.0
33,,,,,10.0,
34,,,,,10.0,
35,,14.0,,,,
36,,,,,,11.0
37,,,,,10.0,
38,,,,,,9.0
39,,,,,12.0,
40,21.0,,,,,
41,,,,,,13.0
42,,,,,12.0,
43,15.0,,,,,
44,,,,,20.0,
45,15.0,,,,,
46,,,,,,13.0
47,,,,,,11.0
48,,,,,,13.0
49,,10.0,,,,
