,FLAT_v2_started_FLAT_v2_won,FLAT_v3_started_FLAT_v2_won,FLAT_v2_started_Tie,FLAT_v3_started_Tie,FLAT_v2_started_FLAT_v3_won,FLAT_v3_started_FLAT_v3_won
0,,,,,16.0,
1,9.0,,,,,
2,,,,,,15.0
3,,,,,28.0,
4,,,,,,19.0
5,,,,,,33.0
6,,,,,,13.0
7,,,,,,25.0
8,,,,,,9.0
9,,,,,16.0,
10,,,,,,9.0
11,,12.0,,,,
12,,,,,,11.0
13,,,,,,11.0
14,,44.0,,,,
15,,,,,,13.0
16,,,,,,13.0
17,13.0,,,,,
18,,,,,12.0,
19,,,,,,23.0
20,,,,,16.0,
21,,,,,,19.0
22,,,,,,13.0
23,,,,,,13.0
24,,,,,,9.0
25,,,,,,29.0
26,11.0,,,,,
27,,,,,18.0,
28,,,,,20.0,
29,,,,,,11.0
30,,,,,28.0,
31,,,,,,15.0
32,11.0,,,,,
33,,,,,,13.0
34,,,,,,19.0
35,,,,,,13.0
36,,,,,16.0,
37,,,,,14.0,
38,,,,,,19.0
39,,,,,,9.0
40,,,,,,11.0
41,,,,,16.0,
42,,,,,,21.0
43,13.0,,,,,
44,,,,,14.0,
45,,,,,,23.0
46,,12.0,,,,
47,,,,,,9.0
48,11.0,,,,,
49,,,,,14.0,
