,FLAT_v5_started_FLAT_v5_won,UCT_6000_started_FLAT_v5_won,FLAT_v5_started_Tie,UCT_6000_started_Tie,FLAT_v5_started_UCT_6000_won,UCT_6000_started_UCT_6000_won
0,,10.0,,,,
1,,,,,,15.0
2,9.0,,,,,
3,,,,,,9.0
4,,,,,14.0,
5,,,,,,9.0
6,,,,,14.0,
7,,,,,16.0,
8,,,,,,11.0
9,,,,,,9.0
10,,,,,16.0,
11,,10.0,,,,
12,,10.0,,,,
13,9.0,,,,,
14,15.0,,,,,
15,,10.0,,,,
16,9.0,,,,,
17,,10.0,,,,
18,,,,,,17.0
19,,,,,22.0,
20,,10.0,,,,
21,9.0,,,,,
22,9.0,,,,,
23,,16.0,,,,
24,,14.0,,,,
25,9.0,,,,,
26,9.0,,,,,
27,,18.0,,,,
28,,,,,,17.0
29,,,,,,17.0
30,,14.0,,,,
31,,,,,,17.0
32,,,,,,15.0
33,,,,,,15.0
34,,,,,,19.0
35,,,,,18.0,
36,,,,,,29.0
37,,,,,24.0,
38,,,,,12.0,
39,,,,,14.0,
40,17.0,,,,,
41,25.0,,,,,
42,9.0,,,,,
43,,,,,,19.0
44,,,,,14.0,
45,9.0,,,,,
46,,,,,,13.0
47,9.0,,,,,
48,,22.0,,,,
49,9.0,,,,,
