,ZERO_v3_started_ZERO_v3_won,UCT_2000_started_ZERO_v3_won,ZERO_v3_started_Tie,UCT_2000_started_Tie,ZERO_v3_started_UCT_2000_won,UCT_2000_started_UCT_2000_won
0,9.0,,,,,
1,9.0,,,,,
2,9.0,,,,,
3,9.0,,,,,
4,9.0,,,,,
5,,12.0,,,,
6,9.0,,,,,
7,9.0,,,,,
8,,12.0,,,,
9,,10.0,,,,
10,9.0,,,,,
11,9.0,,,,,
12,,10.0,,,,
13,9.0,,,,,
14,9.0,,,,,
15,9.0,,,,,
16,,14.0,,,,
17,9.0,,,,,
18,9.0,,,,,
19,9.0,,,,,
20,9.0,,,,,
21,,14.0,,,,
22,9.0,,,,,
23,9.0,,,,,
24,,12.0,,,,
25,9.0,,,,,
26,,10.0,,,,
27,,14.0,,,,
28,15.0,,,,,
29,,12.0,,,,
30,,,,,,15.0
31,11.0,,,,,
32,9.0,,,,,
33,,16.0,,,,
34,,,,,,27.0
35,,14.0,,,,
36,,,,,,9.0
37,9.0,,,,,
38,15.0,,,,,
39,15.0,,,,,
40,,12.0,,,,
41,9.0,,,,,
42,,,,,18.0,
43,,,,,,21.0
44,11.0,,,,,
45,9.0,,,,,
46,27.0,,,,,
47,9.0,,,,,
48,9.0,,,,,
49,9.0,,,,,
