,ZERO_v5_started_ZERO_v5_won,UCT_4000_started_ZERO_v5_won,ZERO_v5_started_Tie,UCT_4000_started_Tie,ZERO_v5_started_UCT_4000_won,UCT_4000_started_UCT_4000_won
0,,10.0,,,,
1,9.0,,,,,
2,11.0,,,,,
3,9.0,,,,,
4,9.0,,,,,
5,,,,,18.0,
6,,,,,,21.0
7,9.0,,,,,
8,9.0,,,,,
9,9.0,,,,,
10,,,,,,13.0
11,,,,,,19.0
12,15.0,,,,,
13,19.0,,,,,
14,,14.0,,,,
15,,12.0,,,,
16,9.0,,,,,
17,,,,,16.0,
18,,10.0,,,,
19,9.0,,,,,
20,9.0,,,,,
21,9.0,,,,,
22,,10.0,,,,
23,9.0,,,,,
24,9.0,,,,,
25,9.0,,,,,
26,,10.0,,,,
27,,10.0,,,,
28,9.0,,,,,
29,,,,,,45.0
30,,10.0,,,,
31,,10.0,,,,
32,9.0,,,,,
33,,,,,16.0,
34,,,,,,23.0
35,,,,,,17.0
36,15.0,,,,,
37,9.0,,,,,
38,,14.0,,,,
39,,10.0,,,,
40,,,,,,25.0
41,,,,,16.0,
42,,12.0,,,,
43,,,,,12.0,
44,,10.0,,,,
45,9.0,,,,,
46,15.0,,,,,
47,,,,,,51.0
48,,10.0,,,,
49,,26.0,,,,
