,FLAT_v1_started_FLAT_v1_won,ZEROX_v1_started_FLAT_v1_won,FLAT_v1_started_Tie,ZEROX_v1_started_Tie,FLAT_v1_started_ZEROX_v1_won,ZEROX_v1_started_ZEROX_v1_won
0,,,,,,13.0
1,,,,,12.0,
2,,,,,,13.0
3,17.0,,,,,
4,,,,,42.0,
5,19.0,,,,,
6,15.0,,,,,
7,,,,,,15.0
8,,,,,,19.0
9,,,,,,17.0
10,,,,,,25.0
11,,,,,30.0,
12,,,,,,41.0
13,,,,,,33.0
14,,,,,,25.0
15,,,,,30.0,
16,,,,,42.0,
17,,,,,,27.0
18,,,,,,15.0
19,,,,,,31.0
20,,,,,,33.0
21,,,,,,29.0
22,,,,,44.0,
23,,,,,,43.0
24,,,,,,13.0
25,25.0,,,,,
26,,,,,38.0,
27,15.0,,,,,
28,,,,,,37.0
29,,,,,16.0,
30,,,,,28.0,
31,,,,,36.0,
32,,,,,40.0,
33,,,,,,11.0
34,,,,,,33.0
35,,,,,40.0,
36,,,,,34.0,
37,,,,,26.0,
38,,,,,,31.0
39,,,,,,21.0
40,,,,,,25.0
41,,,,,,23.0
42,15.0,,,,,
43,,,,,24.0,
44,,,,,,37.0
45,,,,,,35.0
46,,,,,52.0,
47,,,,,,39.0
48,,,,,,15.0
49,,,,,18.0,
