,ZERO_v1_started_ZERO_v1_won,ZEROX_v1_started_ZERO_v1_won,ZERO_v1_started_Tie,ZEROX_v1_started_Tie,ZERO_v1_started_ZEROX_v1_won,ZEROX_v1_started_ZEROX_v1_won
0,,,,,26.0,
1,,,,,24.0,
2,,,,,,19.0
3,,,,,,19.0
4,31.0,,,,,
5,,22.0,,,,
6,,30.0,,,,
7,,,,,,17.0
8,,,,,,21.0
9,,,,,30.0,
10,,,,,,15.0
11,,,,,22.0,
12,31.0,,,,,
13,33.0,,,,,
14,,,,,,13.0
15,,,,,,29.0
16,43.0,,,,,
17,,,,,,17.0
18,17.0,,,,,
19,17.0,,,,,
20,,,,,24.0,
21,,,,,,31.0
22,11.0,,,,,
23,,,,,,27.0
24,,18.0,,,,
25,,22.0,,,,
26,,,,,,45.0
27,,,,,24.0,
28,,,,,,29.0
29,21.0,,,,,
30,,,,,,15.0
31,45.0,,,,,
32,,,,,,31.0
33,63.0,,,,,
34,,,,,28.0,
35,,,,,,35.0
36,,,,,,23.0
37,,24.0,,,,
38,,18.0,,,,
39,,26.0,,,,
40,,,,,,13.0
41,,,,,22.0,
42,,,,,30.0,
43,,,,,,17.0
44,47.0,,,,,
45,,,,,,23.0
46,,,,,18.0,
47,,,,,,9.0
48,35.0,,,,,
49,,,,,,43.0
