,ZEROX_v2_started_ZEROX_v2_won,UCT_6000_started_ZEROX_v2_won,ZEROX_v2_started_Tie,UCT_6000_started_Tie,ZEROX_v2_started_UCT_6000_won,UCT_6000_started_UCT_6000_won
0,9.0,,,,,
1,,,,,,15.0
2,,,,,18.0,
3,,28.0,,,,
4,,,,,20.0,
5,,,,,18.0,
6,,,,,20.0,
7,,,,,16.0,
8,15.0,,,,,
9,9.0,,,,,
10,,,,,18.0,
11,23.0,,,,,
12,,,,,20.0,
13,9.0,,,,,
14,,,,,14.0,
15,,,,,,13.0
16,,,,,20.0,
17,,,,,,15.0
18,,,,,,11.0
19,9.0,,,,,
20,,,,,14.0,
21,9.0,,,,,
22,9.0,,,,,
23,,,,,,11.0
24,,,,,,17.0
25,,,,,,11.0
26,,,,,18.0,
27,,,,,20.0,
28,,,,,12.0,
29,,,,,,13.0
30,,,,,,23.0
31,,,,,16.0,
32,,,,,,13.0
33,,,,,20.0,
34,,,,,,11.0
35,,,,,14.0,
36,,,,,,11.0
37,,,,,14.0,
38,,,,,28.0,
39,,,,,,19.0
40,,12.0,,,,
41,,,,,,15.0
42,,,,,,9.0
43,,,,,12.0,
44,,,,,,11.0
45,,,,,,19.0
46,,,,,,11.0
47,,,,,,15.0
48,9.0,,,,,
49,,20.0,,,,
