,ZERO_v4_started_ZERO_v4_won,UCT_2000_started_ZERO_v4_won,ZERO_v4_started_Tie,UCT_2000_started_Tie,ZERO_v4_started_UCT_2000_won,UCT_2000_started_UCT_2000_won
0,,12.0,,,,
1,13.0,,,,,
2,,,,,,11.0
3,,12.0,,,,
4,9.0,,,,,
5,13.0,,,,,
6,,10.0,,,,
7,11.0,,,,,
8,11.0,,,,,
9,,10.0,,,,
10,25.0,,,,,
11,,14.0,,,,
12,,,,,18.0,
13,11.0,,,,,
14,11.0,,,,,
15,9.0,,,,,
16,11.0,,,,,
17,9.0,,,,,
18,11.0,,,,,
19,9.0,,,,,
20,,10.0,,,,
21,,,,,,31.0
22,,20.0,,,,
23,,10.0,,,,
24,,12.0,,,,
25,,14.0,,,,
26,,12.0,,,,
27,11.0,,,,,
28,11.0,,,,,
29,,10.0,,,,
30,11.0,,,,,
31,11.0,,,,,
32,11.0,,,,,
33,,10.0,,,,
34,,10.0,,,,
35,,,,,12.0,
36,,10.0,,,,
37,,,,,22.0,
38,15.0,,,,,
39,9.0,,,,,
40,,,,,,9.0
41,,12.0,,,,
42,,12.0,,,,
43,,24.0,,,,
44,11.0,,,,,
45,,10.0,,,,
46,11.0,,,,,
47,,10.0,,,,
48,9.0,,,,,
49,,,,,,27.0
