,ZEROX_v2_started_ZEROX_v2_won,ZEROX_v3_started_ZEROX_v2_won,ZEROX_v2_started_Tie,ZEROX_v3_started_Tie,ZEROX_v2_started_ZEROX_v3_won,ZEROX_v3_started_ZEROX_v3_won
0,21.0,,,,,
1,,,,,,17.0
2,,,,,,9.0
3,,,,,,19.0
4,,,,,16.0,
5,37.0,,,,,
6,,,,,,19.0
7,,,,,,11.0
8,,,,,,15.0
9,,,,,,11.0
10,,,,,16.0,
11,,,,,,11.0
12,,,,,,23.0
13,31.0,,,,,
14,,,,,,45.0
15,15.0,,,,,
16,,,,,,35.0
17,,,,,,11.0
18,,,,,,25.0
19,,,,,,11.0
20,,,,,,23.0
21,,,,,20.0,
22,,,,,,11.0
23,,,,,,13.0
24,25.0,,,,,
25,,,,,,17.0
26,,,,,,65.0
27,,,,,,25.0
28,,,,,,21.0
29,29.0,,,,,
30,,,,,,13.0
31,39.0,,,,,
32,,,,,,9.0
33,,,,,46.0,
34,,,,,24.0,
35,,,,,,11.0
36,,,,,22.0,
37,,,,,,13.0
38,,,,,,9.0
39,,,,,,25.0
40,,,,,48.0,
41,,,,,22.0,
42,,,,,,11.0
43,,,,,,11.0
44,,,,,,9.0
45,,,,,18.0,
46,,,,,76.0,
47,23.0,,,,,
48,,,,,,11.0
49,21.0,,,,,
