,FLAT_v5_started_FLAT_v5_won,UCT_2000_started_FLAT_v5_won,FLAT_v5_started_Tie,UCT_2000_started_Tie,FLAT_v5_started_UCT_2000_won,UCT_2000_started_UCT_2000_won
0,9.0,,,,,
1,,12.0,,,,
2,,10.0,,,,
3,9.0,,,,,
4,9.0,,,,,
5,,10.0,,,,
6,9.0,,,,,
7,,,,,,11.0
8,9.0,,,,,
9,,,,,,23.0
10,,12.0,,,,
11,9.0,,,,,
12,,12.0,,,,
13,9.0,,,,,
14,,,,,,27.0
15,13.0,,,,,
16,9.0,,,,,
17,9.0,,,,,
18,,10.0,,,,
19,9.0,,,,,
20,,12.0,,,,
21,,12.0,,,,
22,,10.0,,,,
23,,20.0,,,,
24,,10.0,,,,
25,9.0,,,,,
26,,,,,16.0,
27,9.0,,,,,
28,,,,,,11.0
29,9.0,,,,,
30,,10.0,,,,
31,,10.0,,,,
32,,12.0,,,,
33,9.0,,,,,
34,9.0,,,,,
35,,,,,,17.0
36,,10.0,,,,
37,,10.0,,,,
38,,12.0,,,,
39,9.0,,,,,
40,,10.0,,,,
41,,10.0,,,,
42,,18.0,,,,
43,,10.0,,,,
44,,16.0,,,,
45,9.0,,,,,
46,9.0,,,,,
47,9.0,,,,,
48,,10.0,,,,
49,9.0,,,,,
