,ZERO_v3_started_ZERO_v3_won,ZERO_v4_started_ZERO_v3_won,ZERO_v3_started_Tie,ZERO_v4_started_Tie,ZERO_v3_started_ZERO_v4_won,ZERO_v4_started_ZERO_v4_won
0,11.0,,,,,
1,9.0,,,,,
2,19.0,,,,,
3,,,,,,33.0
4,,,,,,17.0
5,11.0,,,,,
6,31.0,,,,,
7,,,,,,27.0
8,11.0,,,,,
9,13.0,,,,,
10,,,,,,11.0
11,,,,,,31.0
12,,,,,,11.0
13,9.0,,,,,
14,13.0,,,,,
15,33.0,,,,,
16,11.0,,,,,
17,,,,,,47.0
18,,,,,,35.0
19,,,,,36.0,
20,,,,,,17.0
21,,,,,,17.0
22,19.0,,,,,
23,,,,,,19.0
24,27.0,,,,,
25,,,,,,31.0
26,13.0,,,,,
27,,,,,,17.0
28,,,,,,19.0
29,27.0,,,,,
30,17.0,,,,,
31,,,,,14.0,
32,,,,,,23.0
33,,,,,,41.0
34,31.0,,,,,
35,,,,,12.0,
36,,,,,40.0,
37,,,,,,27.0
38,,,,,,41.0
39,,,,,,9.0
40,25.0,,,,,
41,,,,,,29.0
42,17.0,,,,,
43,,,,,,9.0
44,9.0,,,,,
45,,32.0,,,,
46,,,,,,17.0
47,15.0,,,,,
48,,,,,,29.0
49,,16.0,,,,
