,FLAT_v3_started_FLAT_v3_won,UCT_4000_started_FLAT_v3_won,FLAT_v3_started_Tie,UCT_4000_started_Tie,FLAT_v3_started_UCT_4000_won,UCT_4000_started_UCT_4000_won
0,,,,,,21.0
1,15.0,,,,,
2,,10.0,,,,
3,9.0,,,,,
4,,,,,,9.0
5,,10.0,,,,
6,,,,,,9.0
7,9.0,,,,,
8,11.0,,,,,
9,9.0,,,,,
10,,10.0,,,,
11,9.0,,,,,
12,9.0,,,,,
13,,10.0,,,,
14,17.0,,,,,
15,21.0,,,,,
16,9.0,,,,,
17,9.0,,,,,
18,,16.0,,,,
19,,,,,,15.0
20,,,,,,13.0
21,17.0,,,,,
22,9.0,,,,,
23,9.0,,,,,
24,9.0,,,,,
25,9.0,,,,,
26,,10.0,,,,
27,9.0,,,,,
28,9.0,,,,,
29,,10.0,,,,
30,15.0,,,,,
31,19.0,,,,,
32,,,,,,11.0
33,,10.0,,,,
34,9.0,,,,,
35,9.0,,,,,
36,,10.0,,,,
37,9.0,,,,,
38,9.0,,,,,
39,,10.0,,,,
40,13.0,,,,,
41,,,,,14.0,
42,,18.0,,,,
43,,,,,,27.0
44,,10.0,,,,
45,9.0,,,,,
46,9.0,,,,,
47,9.0,,,,,
48,,,,,,15.0
49,9.0,,,,,
