[2023-12-06 12:01:30,664] Filepath does not exist: _dens/models/best.h5
[2023-12-06 12:01:30,664] Initializing new model
[2023-12-06 12:16:26,234] Epoch: 59, MSE: 0.8456413149833679, Reward: -1, LR: 0.00558
[2023-12-06 12:16:47,061] Epoch: 60, MSE: 0.8445642590522766, Reward: -1, LR: 0.00553
[2023-12-06 12:17:04,776] Epoch: 61, MSE: 0.8485869765281677, Reward: -1, LR: 0.00547
[2023-12-06 12:17:16,356] Epoch: 62, MSE: 0.8442939519882202, Reward: -1, LR: 0.00542
[2023-12-06 12:17:28,169] Epoch: 63, MSE: 0.8396250605583191, Reward: -1, LR: 0.00536
[2023-12-06 12:17:44,078] Epoch: 64, MSE: 0.8292627334594727, Reward: -1, LR: 0.00531
[2023-12-06 12:18:01,592] Epoch: 65, MSE: 0.7902420163154602, Reward: 1, LR: 0.00526
[2023-12-06 12:18:20,213] Epoch: 66, MSE: 0.8061563372612, Reward: 1, LR: 0.00520
[2023-12-06 12:18:47,373] Epoch: 67, MSE: 0.8025451302528381, Reward: 1, LR: 0.00515
[2023-12-06 12:19:08,094] Epoch: 68, MSE: 0.8193761706352234, Reward: -1, LR: 0.00510
[2023-12-06 12:19:20,448] Epoch: 69, MSE: 0.8247448205947876, Reward: -1, LR: 0.00505
[2023-12-06 12:19:31,280] Epoch: 70, MSE: 0.8235435485839844, Reward: -1, LR: 0.00500
[2023-12-06 12:19:44,191] Epoch: 71, MSE: 0.8159664273262024, Reward: -1, LR: 0.00495
[2023-12-06 12:19:56,942] Epoch: 72, MSE: 0.805802583694458, Reward: 1, LR: 0.00490
[2023-12-06 12:20:07,762] Epoch: 73, MSE: 0.8164011240005493, Reward: -1, LR: 0.00485
[2023-12-06 12:20:20,361] Epoch: 74, MSE: 0.8066510558128357, Reward: 1, LR: 0.00480
[2023-12-06 12:20:31,305] Epoch: 75, MSE: 0.8123272061347961, Reward: -1, LR: 0.00475
[2023-12-06 12:20:44,427] Epoch: 76, MSE: 0.8082662224769592, Reward: 1, LR: 0.00471
[2023-12-06 12:21:00,463] Epoch: 77, MSE: 0.8140271306037903, Reward: 1, LR: 0.00466
[2023-12-06 12:21:12,009] Epoch: 78, MSE: 0.8019508719444275, Reward: 1, LR: 0.00461
[2023-12-06 12:21:23,077] Epoch: 79, MSE: 0.8243330717086792, Reward: -1, LR: 0.00457
[2023-12-06 12:21:36,345] Epoch: 80, MSE: 0.7980707287788391, Reward: 1, LR: 0.00452
[2023-12-06 12:21:51,018] Epoch: 81, MSE: 0.8216143846511841, Reward: -1, LR: 0.00448
[2023-12-06 12:22:03,821] Epoch: 82, MSE: 0.7983598709106445, Reward: 1, LR: 0.00443
[2023-12-06 12:22:18,978] Epoch: 83, MSE: 0.7981000542640686, Reward: 1, LR: 0.00439
[2023-12-06 12:22:31,517] Epoch: 84, MSE: 0.7897624373435974, Reward: 1, LR: 0.00434
[2023-12-06 12:22:43,136] Epoch: 85, MSE: 0.8370601534843445, Reward: -1, LR: 0.00430
[2023-12-06 12:22:53,766] Epoch: 86, MSE: 0.7817305326461792, Reward: 1, LR: 0.00426
[2023-12-06 12:23:06,337] Epoch: 87, MSE: 0.8371647000312805, Reward: -1, LR: 0.00421
[2023-12-06 12:23:19,700] Epoch: 88, MSE: 0.783954381942749, Reward: 1, LR: 0.00417
[2023-12-06 12:23:33,119] Epoch: 89, MSE: 0.8442662358283997, Reward: -1, LR: 0.00413
[2023-12-06 12:23:48,868] Epoch: 90, MSE: 0.7791690230369568, Reward: 1, LR: 0.00409
[2023-12-06 12:23:59,367] Epoch: 91, MSE: 0.7753608226776123, Reward: 1, LR: 0.00405
[2023-12-06 12:24:19,175] Epoch: 92, MSE: 0.8468314409255981, Reward: -1, LR: 0.00401
[2023-12-06 12:24:30,492] Epoch: 93, MSE: 0.7739310264587402, Reward: 1, LR: 0.00397
[2023-12-06 12:24:41,179] Epoch: 94, MSE: 0.7709324359893799, Reward: 1, LR: 0.00393
[2023-12-06 12:24:56,720] Epoch: 95, MSE: 0.8509917259216309, Reward: -1, LR: 0.00389
[2023-12-06 12:25:08,121] Epoch: 96, MSE: 0.8550819158554077, Reward: -1, LR: 0.00385
[2023-12-06 12:25:18,432] Epoch: 97, MSE: 0.7725674510002136, Reward: 1, LR: 0.00381
[2023-12-06 12:25:29,688] Epoch: 98, MSE: 0.7701422572135925, Reward: 1, LR: 0.00377
[2023-12-06 12:25:40,490] Epoch: 99, MSE: 0.7706038355827332, Reward: 1, LR: 0.00373
[2023-12-06 12:25:51,061] Epoch: 100, MSE: 0.7689273357391357, Reward: 1, LR: 0.00370
[2023-12-06 12:26:04,052] Epoch: 101, MSE: 0.7678301334381104, Reward: 1, LR: 0.00366
[2023-12-06 12:26:19,630] Epoch: 102, MSE: 0.853091835975647, Reward: -1, LR: 0.00362
[2023-12-06 12:26:30,447] Epoch: 103, MSE: 0.7623207569122314, Reward: 1, LR: 0.00359
[2023-12-06 12:26:48,164] Epoch: 104, MSE: 0.8590206503868103, Reward: -1, LR: 0.00355
[2023-12-06 12:26:58,697] Epoch: 105, MSE: 0.7615696787834167, Reward: 1, LR: 0.00352
[2023-12-06 12:27:09,274] Epoch: 106, MSE: 0.7587063312530518, Reward: 1, LR: 0.00348
[2023-12-06 12:27:19,937] Epoch: 107, MSE: 0.7567154169082642, Reward: 1, LR: 0.00345
[2023-12-06 12:27:30,962] Epoch: 108, MSE: 0.7548016309738159, Reward: 1, LR: 0.00341
[2023-12-06 12:27:42,177] Epoch: 109, MSE: 0.7510890364646912, Reward: 1, LR: 0.00338
[2023-12-06 12:27:55,127] Epoch: 110, MSE: 0.8864529132843018, Reward: -1, LR: 0.00334
[2023-12-06 12:28:06,118] Epoch: 111, MSE: 0.74544757604599, Reward: 1, LR: 0.00331
[2023-12-06 12:28:16,541] Epoch: 112, MSE: 0.7460436224937439, Reward: 1, LR: 0.00328
[2023-12-06 12:28:26,925] Epoch: 113, MSE: 0.738481879234314, Reward: 1, LR: 0.00324
[2023-12-06 12:28:37,261] Epoch: 114, MSE: 0.8986688852310181, Reward: -1, LR: 0.00321
[2023-12-06 12:28:47,797] Epoch: 115, MSE: 0.735456109046936, Reward: 1, LR: 0.00318
[2023-12-06 12:28:58,540] Epoch: 116, MSE: 0.7322403192520142, Reward: 1, LR: 0.00315
[2023-12-06 12:29:09,422] Epoch: 117, MSE: 0.9153969883918762, Reward: -1, LR: 0.00312
[2023-12-06 12:29:20,021] Epoch: 118, MSE: 0.9135691523551941, Reward: -1, LR: 0.00309
[2023-12-06 12:29:31,392] Epoch: 119, MSE: 0.9109798669815063, Reward: -1, LR: 0.00305
[2023-12-06 12:29:42,338] Epoch: 120, MSE: 0.9154714345932007, Reward: -1, LR: 0.00302
[2023-12-06 12:29:52,801] Epoch: 121, MSE: 0.8878899812698364, Reward: -1, LR: 0.00299
[2023-12-06 12:30:05,151] Epoch: 122, MSE: 0.7469248175621033, Reward: 1, LR: 0.00296
[2023-12-06 12:30:15,923] Epoch: 123, MSE: 0.8763396143913269, Reward: -1, LR: 0.00293
[2023-12-06 12:30:26,996] Epoch: 124, MSE: 0.8698329925537109, Reward: -1, LR: 0.00290
[2023-12-06 12:30:38,469] Epoch: 125, MSE: 0.865842342376709, Reward: -1, LR: 0.00288
[2023-12-06 12:30:51,933] Epoch: 126, MSE: 0.7706444263458252, Reward: 1, LR: 0.00285
