,Flat_started_Flat_won,ZRem_started_Flat_won,Flat_started_Tie,ZRem_started_Tie,Flat_started_ZRem_won,ZRem_started_ZRem_won
0,,,,,,11.0
1,11.0,,,,,
2,11.0,,,,,
3,11.0,,,,,
4,11.0,,,,,
5,11.0,,,,,
6,11.0,,,,,
7,,,,,,11.0
8,11.0,,,,,
9,11.0,,,,,
